day,Temperature,Rainfall,Snowfall,warm,exciting,wet,solitary,bounce,etc
20210101,2.1084210526315794,0.0473684210526315,71.6421052631579,91.0,71.0,90.0,63.0,75.0,1.0
20210102,1.9294736842105265,0.0989473684210526,33.95789473684211,94.0,70.0,91.0,63.0,75.0,1.0
20210103,1.5547368421052634,0.0,5.578947368421051,92.0,68.0,93.0,64.0,73.0,1.0
20210104,4.453684210526316,0.0410526315789473,99.0,93.0,66.0,94.0,65.0,73.0,1.0
20210105,2.353684210526316,0.0547368421052631,13.73684210526316,94.0,66.0,95.0,65.0,72.0,2.0
20210106,-0.1926315789473683,0.4221052631578946,279.9473684210526,97.0,66.0,97.0,67.0,70.0,1.0
20210107,-3.3557894736842093,0.22,184.1157894736842,96.0,64.0,98.0,68.0,69.0,1.0
20210108,-6.707368421052631,0.211578947368421,140.0,94.0,68.0,96.0,67.0,70.0,0.0
20210109,-3.812631578947368,0.14,125.88421052631578,94.0,67.0,96.0,68.0,68.0,1.0
20210110,-0.2410526315789475,0.0210526315789473,38.05263157894737,95.0,67.0,98.0,69.0,67.0,1.0
20210111,-0.8821052631578943,0.1252631578947368,53.631578947368425,91.0,71.0,93.0,66.0,74.0,1.0
20210112,3.0789473684210518,0.1210526315789473,169.9578947368421,91.0,70.0,93.0,66.0,75.0,0.0
20210113,9.963157894736844,0.0010526315789473,1.6421052631578947,91.0,72.0,91.0,64.0,76.0,0.0
20210114,10.601052631578948,0.0,0.0,93.0,70.0,93.0,63.0,73.0,0.0
20210115,13.548421052631571,0.02,0.0,92.0,70.0,92.0,63.0,73.0,0.0
20210116,4.792631578947369,0.4400000000000001,25.26315789473684,94.0,72.0,91.0,63.0,72.0,0.0
20210117,0.7621052631578948,0.111578947368421,175.26315789473685,93.0,70.0,93.0,64.0,72.0,0.0
20210118,3.8926315789473698,0.2042105263157894,158.5157894736842,88.0,69.0,88.0,61.0,79.0,0.0
20210119,1.6052631578947374,0.0,9.0,91.0,68.0,91.0,63.0,77.0,0.0
20210120,8.734736842105262,0.0,0.0,93.0,65.0,94.0,65.0,74.0,0.0
20210121,10.548421052631577,1.2821052631578944,0.0,95.0,65.0,95.0,64.0,74.0,0.0
20210122,10.135789473684213,0.5168421052631579,0.0,95.0,66.0,97.0,68.0,71.0,0.0
20210123,10.584210526315792,0.9600000000000002,0.0,96.0,69.0,96.0,67.0,71.0,0.0
20210124,11.76315789473684,0.011578947368421,0.0,97.0,68.0,99.0,70.0,68.0,0.0
20210125,12.86,0.3494736842105263,0.0,96.0,69.0,95.0,67.0,72.0,0.0
20210126,7.636842105263161,0.9294736842105265,0.0,94.0,70.0,94.0,67.0,72.0,0.0
20210127,8.670526315789473,0.0,0.0,97.0,70.0,96.0,67.0,71.0,0.0
20210128,6.93894736842105,0.2831578947368421,156.03157894736842,96.0,70.0,95.0,67.0,72.0,0.0
20210129,-0.8421052631578945,0.0431578947368421,32.8421052631579,96.0,73.0,94.0,66.0,71.0,0.0
20210130,7.449473684210528,0.0231578947368421,21.05263157894737,95.0,74.0,93.0,66.0,72.0,0.0
20210131,11.06105263157895,2.063157894736842,0.0,96.0,72.0,95.0,71.0,70.0,0.0
20210201,11.018947368421054,0.1452631578947368,0.0,98.0,70.0,97.0,68.0,70.0,0.0
20210202,4.045263157894738,0.0105263157894736,145.94736842105263,99.0,72.0,97.0,68.0,68.0,0.0
20210203,3.738947368421053,0.4231578947368421,150.61052631578946,99.0,72.0,97.0,68.0,67.0,0.0
20210204,4.6431578947368415,0.0,19.37894736842105,99.0,69.0,97.0,66.0,68.0,0.0
20210205,7.732631578947369,0.0210526315789473,0.0,101.0,71.0,98.0,69.0,66.0,0.0
20210206,11.776842105263157,0.0,0.0,99.0,73.0,95.0,68.0,67.0,0.0
20210207,11.624210526315789,0.3894736842105263,24.78947368421053,101.0,73.0,97.0,70.0,66.0,0.0
20210208,3.42842105263158,0.0568421052631579,15.789473684210524,102.0,70.0,99.0,70.0,69.0,0.0
20210209,6.416842105263157,0.0,8.947368421052632,101.0,73.0,96.0,71.0,67.0,0.0
20210210,9.591578947368426,0.0,0.0,98.0,75.0,94.0,69.0,71.0,0.0
20210211,11.327368421052638,0.0,0.0,97.0,76.0,92.0,67.0,74.0,0.0
20210212,15.039999999999996,0.0,0.0,96.0,75.0,94.0,68.0,73.0,0.0
20210213,16.655789473684216,0.0084210526315789,0.0,97.0,76.0,94.0,69.0,71.0,0.0
20210214,14.561052631578946,0.5821052631578948,0.0,98.0,74.0,94.0,69.0,70.0,0.0
20210215,8.858947368421052,0.0021052631578947,0.0,98.0,77.0,92.0,66.0,73.0,0.0
20210216,3.3568421052631585,0.2431578947368421,212.1684210526316,99.0,77.0,93.0,67.0,72.0,0.0
20210217,-2.79578947368421,0.1305263157894736,161.1157894736842,99.0,76.0,93.0,67.0,72.0,0.0
20210218,0.3136842105263157,0.0305263157894736,57.03157894736842,104.0,73.0,96.0,70.0,66.0,0.0
20210219,10.097894736842102,0.0,0.0,99.0,75.0,93.0,67.0,70.0,0.0
20210220,16.61368421052632,0.0,0.0,98.0,76.0,93.0,66.0,70.0,0.0
20210221,20.90947368421053,0.0,0.0,99.0,75.0,95.0,68.0,68.0,0.0
20210222,17.912631578947362,0.0452631578947368,0.0,96.0,80.0,90.0,63.0,74.0,0.0
20210223,8.46,0.0242105263157894,12.105263157894736,95.0,79.0,91.0,64.0,75.0,0.0
20210224,10.212631578947368,0.0,0.0,95.0,82.0,89.0,62.0,76.0,0.0
